epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,221.165,0,30.0677,0,0.00562,1,0.01309,0.00262,1.89434,5.7834,2.4608,0.000213943,0.000213943,0.000213943
29,229.006,0.90471,3.75139,1.72819,0.00495,1,0.01843,0.00369,1.59516,6.12201,2.9082,0.000215265,0.000215265,0.000215265
30,236.445,0.74754,1.68801,1.14006,0.00495,1,0.01843,0.00369,1.59516,6.12201,2.9082,0.000216115,0.000216115,0.000216115
31,243.47,1.24566,2.38602,1.62783,0.49962,0.99925,0.4975,0.34825,1.61977,5.82838,3.35116,0.000216493,0.000216493,0.000216493
32,250.71,1.32378,2.26447,1.6081,0.49962,0.99925,0.4975,0.34825,1.61977,5.82838,3.35116,0.000216401,0.000216401,0.000216401
33,257.956,1.04425,1.85292,1.37887,0.48835,1,0.4975,0.34825,1.73065,5.63454,3.38808,0.000215836,0.000215836,0.000215836
1,12.1258,3.494,15.0774,3.63291,0.00641,1,0.03431,0.01393,1.75455,5.52517,2.80047,0,0,0
2,22.9709,2.73482,4.33979,2.80627,0.00633,1,0.04975,0.02373,1.77167,5.8931,2.7879,1.40542e-05,1.40542e-05,1.40542e-05
3,30.6258,1.8298,6.16402,2.25732,0.00617,1,0.11056,0.05064,1.7598,6.29454,2.72956,2.76369e-05,2.76369e-05,2.76369e-05
4,37.9774,2.2453,5.48032,2.16239,0.00581,1,0.0995,0.0426,1.69414,7.78659,2.63926,4.07479e-05,4.07479e-05,4.07479e-05
5,45.4858,2.0324,3.16768,2.46729,0.01064,1,0.03685,0.01106,1.6403,13.0935,2.54008,5.33874e-05,5.33874e-05,5.33874e-05
6,52.6233,1.51568,2.45975,1.8268,0.01064,1,0.03685,0.01106,1.60761,36.3714,2.40734,6.55554e-05,6.55554e-05,6.55554e-05
7,60.1638,1.90466,3.43195,2.07802,0.01064,1,0.03685,0.01106,1.67449,55.3817,2.26719,7.72517e-05,7.72517e-05,7.72517e-05
8,67.0435,1.79755,2.55049,1.51885,0.01064,1,0.03685,0.01106,1.32702,166.384,2.14116,8.84765e-05,8.84765e-05,8.84765e-05
9,74.1375,1.23183,3.15701,1.44191,0.01064,1,0.03685,0.01106,1.09507,145.115,2.00214,9.92298e-05,9.92298e-05,9.92298e-05
10,83.0102,1.64618,2.42231,1.86981,0.01064,1,0.03685,0.01106,1.04697,78.21,1.87232,0.000109511,0.000109511,0.000109511
11,90.3542,1.79757,1.50648,1.59387,0.01064,1,0.03685,0.01106,1.54691,25.5487,1.84186,0.000119322,0.000119322,0.000119322
12,98.1228,1.26859,2.24266,1.65929,0.02128,1,0.06219,0.01866,1.46224,18.6691,1.94039,0.00012866,0.00012866,0.00012866
13,105.001,1.90036,3.04513,2.1791,0.10234,1,0.11056,0.0411,1.34427,11.7608,2.12645,0.000137527,0.000137527,0.000137527
14,112.462,1.85261,2.37181,2.50117,0.74823,1,0.995,0.20021,1.90185,8.34558,2.91901,0.000145922,0.000145922,0.000145922
15,119.567,1.23545,2.04133,1.59324,0.81506,1,0.995,0.4975,1.39792,8.69312,2.84005,0.000153846,0.000153846,0.000153846
16,131.331,2.53456,2.93999,2.56614,0.94188,1,0.995,0.597,1.36154,7.1966,2.70228,0.000161298,0.000161298,0.000161298
